Date,Time,Temperature(C),Feel likes(C),Chance of Prec.(%),Humidity(%),Visibity(km),Pressure(hPa),State,Real State,Rain,Cloudy,Sunny,Fog
27-06-2023,08:00,27,32,21,87,3,1003,Cloudy ,Cloudy,0,1,0,0
27-06-2023,09:00,27,32,22,86,9,1003,Cloudy ,Cloudy,0,1,0,0
27-06-2023,10:00,28,34,23,90,3,1003,Cloudy ,Rain,1,1,0,0
27-06-2023,11:00,28,33,30,85,9,1003,Isolated Thunderstroms ,Rain,1,1,0,0
27-06-2023,12:00,27,32,53,90,9,1003,Rain,Sunny,0,0,1,0
27-06-2023,13:00,28,33,48,88,3,1003,Rain,Cloudy,0,1,0,0
27-06-2023,14:00,27,32,47,91,9,1002,Rain,Sunny,0,0,1,0
27-06-2023,15:00,27,32,32,90,9,1002,Isolated Thunderstroms ,Isolated Thunderstroms ,1,1,0,0
27-06-2023,16:00,27,31,20,85,3,1002,Cloudy ,Cloudy,0,1,0,0
27-06-2023,17:00,27,31,20,83,3,1002,Cloudy ,Rain,0,1,0,0
27-06-2023,18:00,27,31,15,85,3,1002,Cloudy ,Cloudy,0,1,0,0
27-06-2023,19:00,27,31,30,83,3,1003,Rain,Cloudy,0,1,0,0
27-06-0203,20:00,27,31,50,81,3,1004,Scattered Thunderstroms,Sunny,0,0,1,0
27-06-2023,21:00,27,30,47,82,3,1004,Scattered Thunderstroms,Sunny,0,0,1,0
27-06-2023,22:00,27,30,75,83,3,1005,Thunderstroms,Sunny,0,0,1,0
27-06-2023,23:00,27,30,63,82,3,1005,Scattered Thunderstroms,Cloudy,0,1,0,0
28-06-2023,00:00,27,30,90,82,4,1003,Rain,Cloudy,0,1,0,0
28-06-2023,01:00,26,30,80,84,3,1002,Rain,Cloudy,0,1,0,0
28-06-2023,02:00,26,30,64,86,3,1002,Rain,Cloudy,0,1,0,0
28-06-2023,03:00,26,30,100,86,1.5,1001,Rain,Rain,1,1,0,0
28-06-2023,04:00,26,30,100,87,1,1001,Rain,Rain,1,1,0,0
28-06-2023,05:00,26,30,91,87,1.5,1002,Rain,Rain,1,1,0,0
28-06-2023,06:00,26,30,87,88,3,1003,Rain,Rain,1,1,0,0
28-06-2023,07:00,26,30,84,89,6,1002,Rain,Rain,1,1,0,0
28-06-2023,08:00,27,31,86,88,8,1003,Rain,Rain,1,1,0,0
28-06-2023,09:00,28,33,74,86,8,1004,Rain,Rain,1,1,0,0
28-06-2023,10:00,27,32,71,94,3,1006,Rain,Rain,1,1,0,0
28-06-2023,11:00,29,35,76,84,3,1003,Rain,Rain,1,1,0,0
28-06-2023,12:00,28,33,79,90,8,1006,Rain,Rain,1,1,0,0
28-06-2023,13:00,28,33,48,90,8,1005,Scattered Thunderstroms,Rain,1,1,0,0
28-06-2023,14:00,27,32,38,92,9,1004,Scattered Thunderstroms,Cloudy,0,1,0,0
28-06-2023,15:00,27,32,75,89,9,1004,Scattered Thunderstroms,scattered Thunderstroms,1,1,0,0
28-06-2023,16:00,28,33,16,84,8,1004,Cloudy ,Cloudy,0,1,0,0
28-06-2023,17:00,28,33,13,85,9,1003,Cloudy ,Cloudy,0,1,0,0
28-06-2023,18:00,27,32,23,88,8,1004,Cloudy ,Cloudy,0,1,0,0
28-06-2023,19:00,27,32,18,88,9,1004,Cloudy ,Cloudy,0,1,0,0
28-06-2023,20:00,28,32,14,83,9,1003,Cloudy ,Cloudy,0,1,0,0
28-06-2023,21:00,28,32,11,83,8,1004,Cloudy ,Cloudy,0,1,0,0
28-06-2023,22:00,28,32,13,83,9,1003,Cloudy ,Cloudy,0,1,0,0
28-06-2023,23:00,27,31,14,84,8,1004,Cloudy ,Cloudy,0,1,0,0
29-06-2023,00:00,27,32,23,86,8,1004,Cloudy ,Cloudy,0,1,0,0
29-06-2023,01:00,27,31,19,87,8,1003,Cloudy ,Cloudy,0,1,0,0
29-06-2023,02:00,27,32,20,87,9,1004,Cloudy ,Cloudy,0,1,0,0
29-06-2023,03:00,27,31,43,88,8,1005,Scattered Thunderstroms,Cloudy,0,1,0,0
29-06-2023,04:00,27,31,77,89,6,1006,Thunderstroms,Thunderstroms,1,1,0,0
29-06-2023,05:00,27,31,85,89,6,1005,Thunderstroms,Thunderstroms,1,1,0,0
29-06-2023,06:00,27,31,88,90,3,1006,Rain,Rain,1,1,0,0
29-06-2023,07:00,27,32,88,88,4,1005,Rain,Rain,1,1,0,0
29-06-2023,08:00,28,33,89,86,8,1005,Rain,Cloudy,0,1,0,0
29-06-2023,09:00,29,34,24,89,9,1004,Rain,Cloudy,0,1,0,0
29-06-2023,10:00,28,34,51,84,8,1005,Rain,Rain,1,1,0,0
29-06-2023,11:00,28,34,84,88,3,1006,Rain,Cloudy,0,1,0,0
29-06-2023,12:00,28,34,99,90,8,1005,Rain,Rain,1,1,0,0
29-06-2023,13:00,28,34,99,93,3,1005,Rain,Rain,1,1,0,0
29-06-2023,14:00,27,32,19,90,9,1004,Rain,Cloudy,0,1,0,0
29-06-2023,15:00,28,32,40,90,9,1004,Cloudy ,Cloudy,0,1,0,0
29-06-2023,16:00,27,32,23,90,6,1003,Cloudy ,Cloudy,0,1,0,0
29-06-2023,17:00,28,33,14,88,8,1004,Cloudy ,Cloudy,0,1,0,0
29-06-2023,18:00,28,32,20,83,3,1002,Scattered Thunderstroms,Sunny,0,0,1,0
29-06-2023,19:00,28,32,16,88,3,1003,Thunderstroms,Cloudy,0,1,0,0
29-06-2023,20:00,27,32,19,83,3,1004,Thunderstroms,Thunderstroms,1,1,0,0
29-06-2023,21:00,27,32,15,86,3,1004,Cloudy ,Cloudy,0,1,0,0
29-06-2023,22:00,27,31,17,86,3,1004,Mostly cloudy ,Mostly cloudy,0,1,0,0
